MUNICIPI,LATITUD,LONGITUD
Granadella,41.3555898613,0.6645105781
Cabanyes,41.3714274816,1.6892218403
Cànoves i Samalús,41.6945329121,2.3510817266
Palma d'Ebre,41.282888939,0.6657223494
Cabanelles,42.2306328334,2.819741278
Pedret i Marzà,42.3063836537,3.0830704515
Esterri d'Àneu,42.6286344941,1.123039497
Castellbisbal,41.4761110375,1.9825931174
Cornellà de Llobregat,41.3545939056,2.0729886675
Ullà,42.0506136541,3.1076510865
Llorac,41.5566477563,1.3075597552
Vilamaniscle,42.3749074514,3.0671836134
Estany,41.8686704481,2.1124240552
Prats de Rei,41.7055218506,1.5416287802
Bisbal de Falset,41.28034,0.72313
Sobremunt,42.0358225226,2.1669613443
Camprodon,42.3117463613,2.3648854723
Alcover,41.2630723331,1.1703100985
Lliçà de Vall,41.5861426743,2.2394975877
Agullana,42.3937130708,2.8470684445
Bovera,41.35678,0.66446
Castellfollit de Riubregós,41.7760297,1.4378061
Perelló,40.8750715819,0.7124047758
Castellvell del Camp,41.180934837,1.0967280247
Soriguera,42.3721678079,1.1818090596
Malla,41.888887559,2.2357567962
Vimbodí i Poblet,41.4000625109,1.0511273602
Jorba,41.6017099332,1.54884774
Santa Margarida i els Monjos,41.3207577255,1.6626011845
Pineda de Mar,41.6273077685,2.6893256485
Barberà del Vallès,41.5157836878,2.124951817
Montmell,41.3155222602,1.4535590712
Nou de Berguedà,42.1663939,1.884412
Pont de Suert,42.3162412,0.7458315
Penelles,41.7579159495,0.9655710217
Sant Quirze Safaja,41.727264118,2.1530479794
Bellcaire d'Urgell,41.759474573,0.9062221906
Gavà,41.3039576885,1.9991991726
Alt Àneu,42.63446,1.10819
Juncosa,41.3714457066,0.7754938958
Castellolí,41.5982171971,1.7003261204
Sant Climent de Llobregat,41.3373873756,1.9958522656
Capçanes,41.0997649258,0.7816144688
Sant Antoni de Vilamajor,41.673561796,2.4005891727
Manlleu,41.9999421874,2.2836403211
Fornells de la Selva,41.9344274566,2.8103521547
Llorenç del Penedès,41.2828500111,1.5529400443
Barbens,41.6790651036,1.0184776419
Granada,41.3768418002,1.7194344802
Bausen,42.836626736,0.7173625246
Ullastret,42.0002251225,3.0682876024
Fígols,42.2023805977,1.3387379167
Guixers,42.1323195266,1.6664155434
Montornès del Vallès,41.5458898441,2.2659035406
Prades,41.3095997824,0.9880959218
Vilanova del Camí,41.5722577647,1.634255395
Sant Martí Vell,42.0164078,2.9080316
Palau d'Anglesola,41.6516,0.8808
Llagosta,41.5127215114,2.1928080803
Borredà,42.1356610539,1.9941013207
Pobla de Lillet,42.2437227528,1.9747894024
Aiguafreda,41.7687077701,2.2496124548
Sant Jaume de Frontanyà,42.1872161523,2.0238904321
Preixana,41.6083664332,1.0402142869
Cassà de la Selva,41.8844099312,2.8767869248
Aldover,40.8798589493,0.5000446386
Vall de Boí,42.5626306093,0.8430431519
Escala,42.124898,3.1323601
Pujalt,41.7172201215,1.4222980518
Rupià,42.0204585978,3.0108039285
Borges Blanques,41.5204622,0.8698014
Espolla,42.3912584553,3.0018905128
Corbera d'Ebre,41.0779948462,0.4792928651
Alcanar,40.5430664009,0.4813324922
Puigcerdà,42.4310894015,1.9272304078
Bòrdes,42.7396703053,0.7209241234
Rubí,41.4934899194,2.0310895137
Pradell de la Teixeta,41.1562464239,0.8754426173
Vilanant,42.254505094,2.8902392273
Palamós,41.8463837114,3.1293521266
Galera,40.6822758257,0.4637649381
Garidells,41.20711,1.2476799
Fogars de Montclús,41.7278397634,2.4433747125
Ribera d'Ondara,41.643560529,1.316745806
Santa Coloma de Farners,41.861310443,2.6629646446
Cambrils,41.0709979116,1.0573719258
Amer,42.012365123,2.6038726572
Isòvol,42.36531,1.83731
Montagut i Oix,42.2319271488,2.5963282176
Vilanova de Bellpuig,41.6147801353,0.9612184108
Gombrèn,42.248781657,2.0897434857
Ventalló,42.1489592297,3.0268643475
Vilablareix,41.9524252037,2.7937533256
Olivella,41.3103928591,1.8117091119
Calonge i Sant Antoni,41.8609316,3.0765999
Torrefeta i Florejacs,41.7542858718,1.2753446246
Cabanabona,41.8515802146,1.2173925054
Soses,41.5331799661,0.487553955
Creixell,41.1679157,1.4406295
Serinyà,42.1696229232,2.7454545688
Maià de Montcal,42.17103,2.74474
Olot,42.1830087374,2.4844756109
Bell-lloc d'Urgell,41.6298926666,0.7794268878
Portbou,42.4263906336,3.162426393
Navata,42.2237552034,2.8605308295
Clariana de Cardener,41.934795161,1.6308935012
Torrebesses,41.4265451067,0.5945117166
Vilobí del Penedès,41.3902465126,1.6640953034
Tagamanent,41.7376303305,2.2672146964
Aitona,41.49447,0.45841
Tortellà,42.2328384456,2.6296701295
Tona,41.8499558,2.2295279
Girona,41.9831570414,2.8247952598
Sudanell,41.5576664875,0.5671122488
Colera,42.4040805377,3.1505042595
Fondarella,41.6350654097,0.8745195667
Planes d'Hostoles,42.057375875,2.5377267919
Sant Julià de Ramis,42.0348644196,2.8397920276
Cava,42.32518462,1.5841676297
Xerta,40.90675,0.49056
Vila-rodona,41.3109192045,1.3579174825
Foixà,42.0365699173,3.0006314713
Campdevànol,42.2233169841,2.1689768982
Josa i Tuixén,42.23121,1.5664499
Palafrugell,41.9149953382,3.1642753089
Bonastre,41.2210368211,1.4400076536
Amposta,40.713316,0.580888
Sant Agustí de Lluçanès,42.0938288277,2.1308750602
Ultramort,42.0384868098,3.0356419236
Palol de Revardit,42.069354665,2.7961973523
Rupit i Pruit,42.0234172,2.4646815
Castellar de la Ribera,42.0239688961,1.416732403
Veciana,41.6559380729,1.4885797748
Pardines,42.3123731991,2.2129849946
Albanyà,42.3058543854,2.7215500095
Vallfogona de Balaguer,41.7522793842,0.8152052511
Sant Boi de Lluçanès,42.0587110633,2.1514175297
Conca de Dalt,42.24015,0.96543
Gandesa,41.0520561386,0.4390393298
Sénia,40.6333983,0.2851319
Vilalba dels Arcs,41.1210681679,0.410097262
Prat de Llobregat,41.3306041851,2.0928974953
Oristà,41.9324059866,2.060656578
Figuerola del Camp,41.3737669117,1.2663941836
Vilanova del Vallès,41.5541369653,2.2894133355
Flaçà,42.0468600641,2.9580383894
Vall de Bianya,42.2110303,2.4539469
Jonquera,42.4168045263,2.873080914
Sant Guim de la Plana,41.76252,1.32419
Vila-seca,41.1108830711,1.1448925032
Collsuspina,41.8255470471,2.1751769749
Tírvia,42.5150383769,1.2430575468
Llavorsí,42.4974798002,1.2088668742
Sant Salvador de Guardiola,41.6785918252,1.7665614468
Vic,41.9297579092,2.2551185912
Sidamon,41.6296052,0.8322795
Madremanya,41.9900900806,2.9572629254
Serra de Daró,42.0279535668,3.0727982295
Hostalets de Pierola,41.5335089975,1.770936081
Sant Cugat Sesgarrigues,41.3626636363,1.7523422465
Sant Sadurní d'Osormort,41.9065705338,2.3878077099
Collbató,41.5672661657,1.8294883224
Montgai,41.7996640878,0.9609324394
Llimiana,42.0749680059,0.9159725213
Avinyó,41.8638308422,1.9711367754
Masnou,41.4791335366,2.3191312644
Fontcoberta,42.1429050824,2.7891908885
Ordis,42.2186768414,2.9067790569
Albons,42.10424115,3.0853635315
Urús,42.3501705837,1.8520799697
Sant Climent Sescebes,42.3692638635,2.9806386401
Caldes d'Estrac,41.5725458833,2.5277260297
Llanars,42.3205757904,2.3439372624
Aldea,40.7463348748,0.6190644196
Roca del Vallès,41.6098166,2.2869651
Begur,41.9171933,3.1639125
Sant Boi de Llobregat,41.3474831606,2.0432960158
Alfés,41.5215931677,0.6195644747
Botarell,41.1361049534,0.9890649953
Cornellà del Terri,42.08917,2.8157
Cervera,41.6655858391,1.2709830925
Olvan,42.0568701462,1.9069845784
Rocafort de Queralt,41.4775320471,1.2808126513
Vidreres,41.7904481301,2.7768475524
Vilabella,41.2468720603,1.329990461
Bot,41.0090686614,0.3847180683
Montmajor,42.0192646312,1.7359370934
Senan,41.469929799,1.0882957522
Almacelles,41.7314977113,0.4370881081
Maldà,41.551063106,1.0401583808
Quar,42.1049686239,1.9809076191
Teià,41.4995311371,2.3199368145
Canonja,41.1228074638,1.17889794
Seu d'Urgell,42.3581524275,1.462363979
Molar,41.1632997896,0.7060387504
Linyola,41.710211603,0.9041328835
Castellar del Riu,42.1330586708,1.7099733152
Borrassà,42.2228430891,2.9260843503
Riudecanyes,41.1301150378,0.9609065909
Caseres,41.0385920594,0.250645769
Roses,41.5410511571,2.0739652196
Sant Pere de Vilamajor,41.6850080381,2.3905890961
Cabacés,41.2482181019,0.7346331399
Mollerussa,41.6297859916,0.8940125646
Sant Cugat del Vallès,41.4706779764,2.0852661599
Castell de Mur,42.0922032304,0.8782176064
Font-rubí,41.414123438,1.6517634764
Masarac,42.3506958427,2.9728303331
Susqueda,42.0144352552,2.5468381705
Albi,41.4228890796,0.9363030703
Llacuna,41.4722099,1.53378
